week_end,indicator,high_industry,value
08/09/2019,Number of Paid Jobs - 27 days,B Goods Producing,398530
08/09/2019,Number of Paid Jobs - 27 days,C Services,1566710
08/09/2019,Number of Paid Jobs - 27 days,Total,2086820
15/09/2019,Number of Paid Jobs - 6 days,A Primary,65650
15/09/2019,Number of Paid Jobs - 6 days,B Goods Producing,348740
15/09/2019,Number of Paid Jobs - 6 days,C Services,1188740
15/09/2019,Number of Paid Jobs - 6 days,Total,1623780
15/09/2019,Number of Paid Jobs - 13 days,A Primary,85340
15/09/2019,Number of Paid Jobs - 13 days,B Goods Producing,388970
15/09/2019,Number of Paid Jobs - 13 days,C Services,1479990
15/09/2019,Number of Paid Jobs - 13 days,Total,1978650
15/09/2019,Number of Paid Jobs - 27 days,A Primary,92260
15/09/2019,Number of Paid Jobs - 27 days,B Goods Producing,399820
15/09/2019,Number of Paid Jobs - 27 days,C Services,1582570
15/09/2019,Number of Paid Jobs - 27 days,Total,2104200
22/09/2019,Number of Paid Jobs - 6 days,A Primary,67090
22/09/2019,Number of Paid Jobs - 6 days,B Goods Producing,342960
22/09/2019,Number of Paid Jobs - 6 days,C Services,1196880
22/09/2019,Number of Paid Jobs - 6 days,Total,1625890
22/09/2019,Number of Paid Jobs - 13 days,A Primary,89670
22/09/2019,Number of Paid Jobs - 13 days,B Goods Producing,394850
22/09/2019,Number of Paid Jobs - 13 days,C Services,1530090
22/09/2019,Number of Paid Jobs - 13 days,Total,2042570
22/09/2019,Number of Paid Jobs - 27 days,A Primary,93580
22/09/2019,Number of Paid Jobs - 27 days,B Goods Producing,401410
22/09/2019,Number of Paid Jobs - 27 days,C Services,1579410
22/09/2019,Number of Paid Jobs - 27 days,Total,2104400
29/09/2019,Number of Paid Jobs - 6 days,A Primary,68450
29/09/2019,Number of Paid Jobs - 6 days,B Goods Producing,357670
29/09/2019,Number of Paid Jobs - 6 days,C Services,1215000
29/09/2019,Number of Paid Jobs - 6 days,Total,1663830
29/09/2019,Number of Paid Jobs - 13 days,A Primary,87820
29/09/2019,Number of Paid Jobs - 13 days,B Goods Producing,393210
29/09/2019,Number of Paid Jobs - 13 days,C Services,1509410
29/09/2019,Number of Paid Jobs - 13 days,Total,2019060
29/09/2019,Number of Paid Jobs - 27 days,A Primary,92940
29/09/2019,Number of Paid Jobs - 27 days,B Goods Producing,402750
29/09/2019,Number of Paid Jobs - 27 days,C Services,1591330
29/09/2019,Number of Paid Jobs - 27 days,Total,2117740
06/10/2019,Number of Paid Jobs - 6 days,A Primary,69770
06/10/2019,Number of Paid Jobs - 6 days,B Goods Producing,348840
06/10/2019,Number of Paid Jobs - 6 days,C Services,1228770
06/10/2019,Number of Paid Jobs - 6 days,Total,1672870
06/10/2019,Number of Paid Jobs - 13 days,A Primary,90170
06/10/2019,Number of Paid Jobs - 13 days,B Goods Producing,396870
06/10/2019,Number of Paid Jobs - 13 days,C Services,1519880
06/10/2019,Number of Paid Jobs - 13 days,Total,2038610
06/10/2019,Number of Paid Jobs - 27 days,A Primary,94490
06/10/2019,Number of Paid Jobs - 27 days,B Goods Producing,404320
06/10/2019,Number of Paid Jobs - 27 days,C Services,1604610
06/10/2019,Number of Paid Jobs - 27 days,Total,2136830
13/10/2019,Number of Paid Jobs - 6 days,A Primary,66650
13/10/2019,Number of Paid Jobs - 6 days,B Goods Producing,350150
13/10/2019,Number of Paid Jobs - 6 days,C Services,1171370
13/10/2019,Number of Paid Jobs - 6 days,Total,1607550
